Player,Salary,NBA_Country,NBA_DraftNumber,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
Pau Gasol,16.0,Spain,3,37,SAS,74,1753,19.0,0.54,0.18899999999999997,0.331,7.9,30.3,19.0,20.0,0.6,3.7,13.3,20.7,2.6,3.2,5.8,0.158,-0.2,3.3,3.1,2.3
Patty Mills,10.714286,Australia,55,29,SAS,79,2018,12.1,0.562,0.606,0.17800000000000002,1.4,7.0,4.1,16.1,1.3,0.5,12.4,17.8,2.1,2.1,4.2,0.099,1.0,-1.3,-0.2,0.9
Patrick Patterson,5.192,USA,14,28,OKC,79,1234,9.7,0.545,0.638,0.165,2.7,14.5,8.4,5.8,1.9,1.7,10.3,10.8,1.0,1.4,2.4,0.092,-1.8,0.3,-1.5,0.2
Patrick McCaw,1.312611,USA,38,22,GSW,57,961,7.4,0.47700000000000004,0.35600000000000004,0.151,2.0,7.1,4.8,10.6,2.2,0.8,14.6,12.8,-0.3,0.9,0.6,0.031,-2.9,-0.4,-3.3,-0.3
Patrick Beverley,5.513514,USA,42,29,LAC,11,334,12.3,0.53,0.504,0.14300000000000002,5.4,9.4,7.4,13.8,2.6,1.2,16.5,19.6,0.1,0.3,0.4,0.057,0.4,0.3,0.7,0.2
Pat Connaughton,1.471382,USA,41,25,POR,78,1432,9.3,0.535,0.542,0.113,2.6,9.0,5.8,8.9,0.7,1.2,9.3,13.5,1.1,1.2,2.3,0.077,-0.9,-0.6,-1.5,0.2
Pascal Siakam,1.312611,Cameroon,27,23,TOR,77,1577,14.9,0.5539999999999999,0.268,0.17800000000000002,5.5,18.8,12.2,13.3,1.9,2.0,11.0,15.9,2.1,2.3,4.5,0.136,0.1,2.1,2.2,1.7
P.J. Tucker,7.590035,USA,35,32,HOU,78,2170,8.4,0.537,0.6920000000000001,0.145,4.6,17.4,11.0,4.6,1.8,0.9,13.3,10.3,1.0,2.8,3.8,0.083,-1.3,1.5,0.2,1.2
Otto Porter,24.77325,USA,3,24,WAS,74,2349,18.4,0.601,0.35700000000000004,0.145,4.7,18.0,11.4,10.0,2.4,1.4,7.1,18.4,4.9,3.0,7.9,0.161,2.5,1.1,3.6,3.3
Omri Casspi,2.10647,Israel,23,29,GSW,53,740,15.5,0.632,0.106,0.33299999999999996,4.9,23.9,15.1,9.5,1.2,2.0,13.5,16.3,1.2,1.0,2.2,0.14300000000000002,-1.4,0.2,-1.3,0.1
Omer Asik,10.595505,Turkey,36,31,NOP,14,121,4.5,0.423,0.0,0.75,6.5,26.1,16.6,2.0,0.4,1.3,19.0,9.4,-0.1,0.1,0.0,0.006,-7.4,-0.8,-8.2,-0.2
Okaro White,1.312611,USA,62,25,MIA,6,80,8.9,0.5770000000000001,0.688,0.188,4.2,11.2,7.7,3.5,0.6,1.1,5.5,10.3,0.1,0.1,0.2,0.098,-1.5,-1.3,-2.8,0.0
OG Anunoby,1.6452,United Kingdo...,23,20,TOR,70,1389,9.5,0.575,0.565,0.183,3.3,9.9,6.6,5.2,1.8,0.6,10.8,12.3,1.1,1.5,2.6,0.09,0.0,0.3,0.3,0.8
Norman Powell,1.471382,USA,46,24,TOR,66,1003,8.4,0.496,0.489,0.11,1.5,10.8,6.2,11.5,1.6,1.2,14.5,18.9,-0.6,1.1,0.5,0.026000000000000002,-2.5,-0.5,-3.0,-0.3
Noah Vonleh,3.505233,USA,9,22,TOT,54,875,12.8,0.509,0.282,0.248,8.6,30.1,19.2,5.7,1.1,1.6,10.7,14.5,0.5,1.2,1.7,0.091,-3.4,0.3,-3.1,-0.2
Nikola Vucevic,12.25,Montenegro,16,27,ORL,54,1619,19.7,0.536,0.25,0.115,6.6,27.6,17.0,19.3,1.6,2.9,11.1,25.9,1.3,2.2,3.5,0.10400000000000001,0.6,2.0,2.6,1.9
Nikola Mirotic,12.5,Montenegro,23,26,TOT,51,1352,17.8,0.5670000000000001,0.525,0.21,4.1,24.0,14.1,8.7,1.4,2.2,8.0,23.2,1.6,1.5,3.2,0.113,0.9,-0.8,0.1,0.7
Nikola Jokic,1.471382,Serbia,41,22,DEN,71,2288,24.4,0.607,0.27899999999999997,0.317,9.2,27.7,18.4,29.2,1.8,2.1,15.8,24.1,7.3,2.6,9.9,0.20800000000000002,4.8,2.1,6.9,5.1
Nik Stauskas,3.807146,Canada,8,24,TOT,37,459,9.1,0.5539999999999999,0.669,0.165,0.7,12.6,6.6,10.1,0.8,0.5,13.4,15.5,0.1,0.2,0.3,0.035,-2.0,-1.8,-3.9,-0.2
Nigel Hayes,0.09216,USA,62,23,TOT,6,60,2.4,0.36200000000000004,0.611,0.16699999999999998,1.8,8.0,4.7,11.0,0.0,1.6,9.4,15.7,-0.2,0.0,-0.2,-0.134,-6.0,-4.1,-10.0,-0.1
Nicolas Brussino,1.312611,Argentina,62,24,ATL,4,10,-4.6,0.0,1.0,0.0,0.0,33.5,16.8,0.0,0.0,0.0,0.0,8.7,0.0,0.0,0.0,-0.18,-13.8,-4.8,-18.6,0.0
Nicolas Batum,22.434783,France,25,29,CHO,61,1918,14.3,0.518,0.42200000000000004,0.204,3.0,13.8,8.3,26.0,1.6,1.0,15.0,18.2,1.6,1.7,3.3,0.08199999999999999,0.8,0.4,1.2,1.6
Nick Young,5.192,USA,16,32,GSW,76,1307,10.1,0.562,0.669,0.12300000000000001,1.8,7.5,4.8,3.5,1.3,0.4,7.3,18.0,0.7,0.9,1.6,0.059000000000000004,-0.2,-3.4,-3.7,-0.5
Nick Collison,2.328652,USA,12,37,OKC,13,72,13.8,0.6659999999999999,0.0,0.42100000000000004,8.9,20.7,14.6,8.6,0.0,0.0,23.7,17.6,0.1,0.0,0.1,0.08,-3.2,-2.8,-6.0,-0.1
Nerlens Noel,4.187599,USA,6,23,DAL,30,472,16.2,0.5579999999999999,0.01,0.267,11.0,29.1,19.8,6.3,3.3,4.1,18.1,13.8,0.4,1.0,1.3,0.13699999999999998,-3.4,4.6,1.2,0.4
Nene Hilario,3.4776,Brazil,7,35,HOU,50,732,17.0,0.604,0.009000000000000001,0.442,8.1,18.5,13.3,9.6,1.8,1.6,11.7,19.0,1.6,1.0,2.6,0.17,-1.2,0.6,-0.6,0.3
Nemanja Bjelica,3.949999,Serbia,35,29,MIN,63,1286,12.9,0.598,0.49,0.13,4.2,19.1,11.6,8.6,1.7,1.0,12.0,14.3,1.7,1.0,2.7,0.1,0.8,-0.2,0.6,0.8
Naz Mitrou-Long,0.09216,Canada,62,24,UTA,1,1,134.1,1.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.1,0.1,0.0,0.1,2.713,68.7,-14.3,54.4,0.0
Nate Wolters,0.05,USA,38,26,UTA,5,19,-2.9,0.16699999999999998,0.0,0.0,6.1,5.9,6.0,7.1,0.0,0.0,0.0,14.2,-0.1,0.0,-0.1,-0.141,-10.3,-2.2,-12.5,-0.1
Myles Turner,2.56992,USA,11,21,IND,61,1761,17.6,0.581,0.24100000000000002,0.33299999999999996,5.9,20.1,13.1,7.2,1.1,5.7,11.5,20.1,2.6,2.5,5.0,0.13699999999999998,-0.6,1.9,1.4,1.5
Montrezl Harrell,1.471382,USA,32,24,LAC,72,1190,24.9,0.6559999999999999,0.012,0.41700000000000004,9.3,17.1,13.3,9.2,1.3,3.3,9.8,23.8,4.1,1.2,5.3,0.213,2.4,-0.1,2.3,1.3
Mirza Teletovic,10.5,Bosnia,62,32,MIL,10,159,13.5,0.623,0.789,0.0,2.2,14.8,8.5,9.5,1.3,0.5,10.9,18.2,0.2,0.1,0.3,0.09,1.6,-3.3,-1.7,0.0
Mindaugas Kuzminskas,3.025035,Lithuania,62,28,NYK,1,2,-41.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.6,0.0,0.0,0.0,-1.063,-36.5,-12.7,-49.2,0.0
Milos Teodosic,6.0,Serbia,62,30,LAC,45,1134,11.7,0.564,0.644,0.128,1.6,10.5,6.1,26.2,1.0,0.4,20.3,18.2,0.9,0.5,1.4,0.061,0.7,-2.0,-1.3,0.2
Miles Plumlee,12.5,USA,26,29,ATL,52,888,10.7,0.57,0.0,0.32799999999999996,9.6,18.5,14.0,7.3,0.9,2.9,23.7,13.1,0.1,0.7,0.8,0.042,-3.9,1.4,-2.5,-0.1
Mike Scott,1.709538,USA,43,29,WAS,72,1320,13.7,0.608,0.313,0.14,3.7,15.8,9.8,8.9,0.8,0.7,12.8,19.8,1.4,1.0,2.3,0.085,-0.4,-1.7,-2.2,-0.1
Mike Muscala,5.0,USA,44,26,ATL,50,984,14.6,0.599,0.526,0.203,6.0,18.3,12.2,7.0,1.5,2.3,11.0,15.8,1.4,0.9,2.3,0.11199999999999999,0.0,0.2,0.2,0.6
Mike James,0.087552,USA,62,27,TOT,36,687,13.9,0.469,0.305,0.262,2.0,12.2,7.0,29.5,2.0,0.8,12.0,25.1,-0.1,0.3,0.2,0.016,-0.8,-1.8,-2.7,-0.1
Mike Conley,28.530608,USA,4,30,MEM,12,373,15.5,0.52,0.45799999999999996,0.39299999999999996,0.0,8.6,4.2,22.3,1.6,0.8,8.4,25.9,0.4,0.2,0.6,0.079,1.2,-3.4,-2.2,0.0
Michael Kidd-Gilchrist,13.0,USA,2,24,CHO,71,1778,12.6,0.534,0.004,0.29600000000000004,4.9,13.2,9.0,6.0,1.3,1.5,7.6,16.4,1.6,1.5,3.1,0.083,-2.1,0.3,-1.8,0.1
Michael Carter-Williams,2.7,USA,11,26,CHO,52,835,10.9,0.446,0.258,0.389,4.7,13.4,8.9,19.5,2.6,2.3,16.2,16.6,-0.2,1.1,0.8,0.048,-2.6,2.0,-0.7,0.3
Michael Beasley,2.116955,USA,2,29,NYK,70,1582,17.7,0.557,0.10099999999999999,0.195,6.3,21.5,13.9,12.4,1.0,2.2,14.1,26.8,0.9,1.4,2.2,0.068,-1.1,-0.6,-1.7,0.1
Meyers Leonard,9.904495,USA,11,25,POR,30,237,16.8,0.6609999999999999,0.33299999999999996,0.139,5.1,24.2,14.8,10.6,1.3,0.0,11.6,16.0,0.6,0.3,0.9,0.18100000000000002,0.6,-0.3,0.3,0.1
Maxi Kleber,0.815615,Germany,62,26,DAL,69,1155,12.9,0.5670000000000001,0.40700000000000003,0.203,6.3,14.8,10.4,6.1,1.1,3.4,7.9,13.5,1.5,1.2,2.6,0.11,-1.2,1.2,0.0,0.6
Maurice Harkless,10.162922,USA,15,24,POR,59,1264,12.6,0.596,0.397,0.19899999999999998,4.0,9.9,7.0,6.0,1.9,2.8,11.0,12.6,1.6,1.6,3.2,0.122,-0.2,2.0,1.8,1.2
Matthew Dellavedova,9.6075,Australia,62,27,MIL,37,702,8.7,0.506,0.517,0.168,2.2,8.4,5.3,27.3,1.0,0.0,23.1,13.4,0.3,0.2,0.5,0.034,-2.2,-3.6,-5.8,-0.7
Matt Williams,0.05,USA,62,24,MIA,3,11,-0.7,0.41700000000000004,0.833,0.0,0.0,10.2,5.1,0.0,0.0,0.0,14.3,28.6,-0.1,0.0,0.0,-0.196,-8.6,-8.6,-17.1,0.0
Mason Plumlee,14.041096,USA,22,27,DEN,70,1373,16.8,0.5820000000000001,0.003,0.48,10.3,21.0,15.6,14.6,1.7,4.7,18.8,16.6,1.7,1.6,3.3,0.115,-1.0,2.6,1.6,1.3
Marvin Williams,13.16875,USA,2,31,CHO,75,1941,13.3,0.593,0.537,0.223,3.9,16.4,10.0,6.7,1.3,1.5,9.7,14.5,2.7,1.8,4.5,0.11,0.7,0.4,1.1,1.5
MarShon Brooks,0.086119,USA,25,29,MEM,3,76,38.1,0.733,0.405,0.31,4.5,4.7,4.6,32.6,3.3,1.2,7.7,30.6,0.5,0.1,0.6,0.365,13.5,-2.9,10.6,0.2
Marshall Plumlee,0.1,USA,62,25,MIL,8,52,10.9,0.6970000000000001,0.0,5.332999999999999,9.1,29.3,19.3,4.8,0.0,1.6,23.0,11.4,0.1,0.0,0.2,0.14300000000000002,-3.7,-2.0,-5.7,0.0
Marreese Speights,2.116955,USA,16,30,ORL,50,647,13.9,0.541,0.6779999999999999,0.158,3.4,18.7,11.0,9.5,0.5,2.7,9.4,26.9,0.2,0.5,0.7,0.052000000000000005,0.3,-3.0,-2.7,-0.1
Marquis Teague,0.083129,USA,29,24,MEM,3,74,5.8,0.302,0.25,0.313,1.5,8.0,4.7,24.9,2.7,0.0,14.2,12.9,-0.1,0.1,-0.1,-0.036000000000000004,-5.8,-1.5,-7.3,-0.1
Marquese Chriss,3.0738,USA,8,20,PHO,71,1501,10.8,0.504,0.401,0.319,5.1,22.8,13.8,8.1,1.6,3.8,16.6,17.9,-0.9,1.5,0.6,0.018000000000000002,-3.5,1.3,-2.1,-0.1
Markieff Morris,8.0,USA,13,28,WAS,69,1872,13.3,0.573,0.298,0.18100000000000002,4.3,19.3,11.8,10.8,1.4,1.8,15.2,19.3,1.1,2.0,3.2,0.081,-1.0,0.6,-0.4,0.8
Markelle Fultz,7.02624,USA,1,19,PHI,10,176,10.3,0.40399999999999997,0.013999999999999999,0.233,4.5,10.0,7.4,27.6,1.6,1.4,11.1,22.0,-0.1,0.2,0.1,0.025,-4.7,-0.5,-5.1,-0.1
Mario Hezonja,4.07832,Croatia,5,22,ORL,71,1544,13.6,0.544,0.43700000000000006,0.162,2.7,16.0,9.3,9.4,2.4,1.6,11.4,19.8,0.4,1.7,2.1,0.065,-1.1,0.2,-0.9,0.4
Mario Chalmers,2.106407,USA,34,31,MEM,62,1353,10.1,0.5,0.424,0.298,1.1,12.0,6.4,21.6,2.8,0.8,18.8,19.4,-0.7,1.2,0.6,0.02,-2.3,-0.5,-2.8,-0.3
Marcus Smart,4.53802,USA,6,23,BOS,54,1614,10.8,0.479,0.483,0.258,3.0,9.8,6.4,23.9,2.2,1.2,18.4,19.5,-0.6,2.5,1.9,0.057,-1.6,1.2,-0.4,0.7
Marcus Morris,5.0,USA,14,28,BOS,52,1398,14.8,0.547,0.385,0.255,3.4,18.7,11.2,8.0,1.2,0.7,8.8,23.0,1.2,2.1,3.3,0.115,-0.9,-0.5,-1.4,0.2
Marcus Georges-Hunt,1.312611,USA,62,23,MIN,41,223,6.3,0.498,0.298,0.447,3.6,4.7,4.2,4.1,1.3,0.0,5.1,11.8,0.1,0.0,0.2,0.038,-2.0,-2.7,-4.7,-0.2
Marco Belinelli,6.30606,Italy,18,31,TOT,76,1838,14.0,0.581,0.508,0.21600000000000003,1.1,7.1,4.1,11.9,1.6,0.4,10.1,20.3,2.2,1.2,3.4,0.08900000000000001,0.7,-2.2,-1.5,0.2
Marcin Gortat,12.782609,Poland,57,33,WAS,78,1967,14.9,0.55,0.0,0.299,9.8,24.1,17.0,10.8,1.0,2.6,13.5,15.6,2.4,2.3,4.7,0.11599999999999999,-1.5,1.9,0.4,1.2
Marc Gasol,22.64235,Spain,48,33,MEM,72,2374,17.3,0.531,0.309,0.33,3.6,25.4,14.2,21.5,1.1,4.0,14.1,25.7,1.3,2.6,4.0,0.08,-0.2,1.7,1.5,2.1
Manu Ginobili,2.5,Argentina,57,40,SAS,62,1241,12.4,0.544,0.409,0.285,1.7,10.1,5.9,18.8,1.7,1.1,16.7,21.3,0.4,1.6,1.9,0.075,-0.9,-0.4,-1.2,0.2
Malik Monk,2.90448,USA,11,19,CHO,60,778,8.5,0.457,0.5710000000000001,0.071,1.1,8.1,4.5,15.4,1.1,0.9,10.3,24.2,-0.9,0.5,-0.4,-0.027000000000000003,-2.1,-3.3,-5.3,-0.7
Malik Beasley,1.70064,USA,19,21,DEN,61,581,8.8,0.504,0.45799999999999996,0.18600000000000003,2.7,11.0,6.9,7.4,1.3,1.0,11.1,16.1,0.0,0.3,0.3,0.023,-2.8,-2.5,-5.3,-0.5
Malcolm Delaney,2.5,USA,62,28,ATL,54,1014,10.7,0.519,0.435,0.32299999999999995,1.0,10.0,5.5,23.5,1.7,0.5,16.9,16.9,0.4,0.6,1.0,0.047,-2.0,-1.6,-3.6,-0.4
Malcolm Brogdon,1.312611,USA,36,25,MIL,46,1404,14.3,0.579,0.319,0.174,1.9,10.8,6.4,16.3,1.5,0.8,11.0,19.1,2.0,0.7,2.7,0.09300000000000001,0.6,-1.8,-1.2,0.3
Malachi Richardson,1.50456,USA,22,22,TOT,26,324,5.9,0.446,0.444,0.244,1.7,10.7,6.0,5.6,1.6,0.3,9.1,15.2,-0.2,0.1,-0.1,-0.018000000000000002,-4.3,-2.2,-6.5,-0.4
Luol Deng,17.19,United Kingdo...,7,32,LAL,1,13,5.5,0.5,0.0,0.0,0.0,0.0,0.0,10.1,3.7,0.0,33.3,9.8,0.0,0.0,0.0,-0.019,-7.2,-1.4,-8.6,0.0
Luke Kennard,2.75928,USA,12,21,DET,69,1339,11.6,0.55,0.42,0.157,1.6,11.5,6.4,12.4,1.5,0.9,12.3,16.9,0.8,1.3,2.2,0.077,-1.4,-0.3,-1.8,0.1
Luke Babbitt,1.974159,USA,16,28,TOT,49,708,10.2,0.5870000000000001,0.72,0.10400000000000001,1.1,14.1,7.6,6.6,0.6,0.8,7.9,14.9,0.6,0.4,1.0,0.067,-0.8,-2.1,-3.0,-0.2
Luis Montero,0.05,Dominican Rep...,62,24,DET,2,8,-15.5,0.0,0.0,0.0,0.0,28.2,13.8,0.0,0.0,0.0,66.7,16.6,-0.1,0.0,-0.1,-0.44299999999999995,-23.8,-2.1,-25.8,0.0
Lucas Nogueira,2.947305,Brazil,16,25,TOR,47,404,17.5,0.6609999999999999,0.23399999999999999,0.364,4.8,18.6,11.8,7.0,2.8,8.3,14.4,11.3,0.7,0.9,1.6,0.18899999999999997,-0.7,6.2,5.5,0.8
Luc Mbah a Moute,2.116955,Cameroon,37,31,HOU,58,1507,10.1,0.601,0.506,0.271,1.6,11.8,6.7,5.1,2.1,1.4,15.6,12.7,0.8,1.9,2.6,0.084,-1.4,1.3,-0.1,0.7
Lou Williams,7.0,USA,45,31,LAC,77,2527,20.5,0.575,0.391,0.36,1.8,6.7,4.3,26.5,1.6,0.6,13.1,29.9,5.6,1.3,6.9,0.131,3.9,-2.7,1.2,2.1
Lonzo Ball,6.28656,USA,2,20,LAL,52,1780,12.5,0.444,0.523,0.126,4.2,17.3,10.8,29.0,2.4,2.0,18.6,17.4,-0.5,2.5,2.0,0.053,-0.8,2.4,1.6,1.6
LeBron James,33.285709,USA,1,33,CLE,78,2898,28.5,0.62,0.254,0.33,3.6,22.3,13.1,44.0,1.9,2.1,15.9,31.4,10.4,3.0,13.4,0.222,7.5,2.2,9.7,8.6
Lauri Markkanen,3.82164,Finland,7,20,CHI,65,1949,15.3,0.551,0.466,0.188,3.9,23.6,13.4,6.2,0.9,1.8,8.1,21.7,1.5,1.6,3.2,0.078,-0.7,-1.2,-1.9,0.0
Larry Nance,1.471382,USA,27,25,TOT,62,1367,20.3,0.613,0.031,0.33799999999999997,12.3,21.6,17.0,8.8,3.0,2.1,10.0,15.8,3.5,2.2,5.7,0.2,1.2,2.4,3.6,1.9
Larry Drew,0.148318,USA,62,27,TOT,10,70,3.0,0.354,0.375,0.0,4.8,0.0,2.3,18.7,0.0,0.0,11.1,16.7,-0.1,0.0,-0.1,-0.063,-5.4,-5.4,-10.7,-0.2
Langston Galloway,6.666667,USA,62,26,DET,54,782,12.3,0.509,0.648,0.11199999999999999,1.7,10.2,5.8,10.3,1.9,0.6,5.1,19.0,0.5,0.8,1.4,0.083,-0.1,-1.5,-1.6,0.1
Lance Thomas,6.655325,USA,62,29,NYK,70,1302,6.4,0.512,0.47600000000000003,0.21,3.7,10.5,7.1,4.3,1.1,0.9,12.4,10.5,0.2,0.6,0.8,0.031,-2.1,-0.5,-2.6,-0.2
Lance Stephenson,4.18,USA,40,27,IND,78,1747,12.4,0.501,0.321,0.17300000000000001,3.7,21.2,12.6,18.4,1.2,0.8,15.1,21.8,-0.2,1.9,1.6,0.045,-1.9,-0.2,-2.1,-0.1
LaMarcus Aldridge,21.46101,USA,2,32,SAS,72,2416,25.2,0.573,0.07,0.303,10.8,17.1,14.0,11.5,0.8,3.0,6.9,29.1,7.3,3.4,10.8,0.214,3.1,0.3,3.4,3.3
Kyrie Irving,18.868625,Australia,1,25,BOS,60,1931,25.1,0.61,0.374,0.24,1.9,10.8,6.4,30.9,1.7,0.7,10.4,31.1,6.3,2.7,9.0,0.22399999999999998,7.0,-0.6,6.4,4.1
Kyle Singler,4.6665,USA,33,29,OKC,12,59,5.9,0.43,0.23800000000000002,0.619,1.8,17.5,9.4,4.8,0.8,0.0,10.1,21.6,-0.1,0.0,0.0,-0.03,-7.6,-4.2,-11.8,-0.1
Kyle O'Quinn,4.0875,USA,49,27,NYK,73,1289,19.4,0.623,0.037000000000000005,0.33899999999999997,9.0,28.0,18.6,16.9,1.3,6.0,19.3,17.0,2.3,1.9,4.2,0.157,-0.2,4.2,4.0,2.0
Kyle Lowry,28.703704,USA,24,31,TOR,74,2387,19.6,0.6,0.63,0.28300000000000003,3.1,16.1,9.7,30.4,1.7,0.5,14.5,21.6,6.8,2.9,9.7,0.195,5.5,0.4,5.8,4.7
Kyle Kuzma,1.42356,USA,27,22,LAL,76,2383,14.4,0.551,0.418,0.201,4.0,17.4,10.7,9.2,1.0,1.1,10.8,22.5,1.7,2.3,4.0,0.08,-0.2,-1.1,-1.2,0.5
Kyle Korver,7.0,USA,51,36,CLE,70,1516,13.5,0.6509999999999999,0.779,0.149,0.7,10.8,5.8,8.0,0.9,1.5,9.1,16.1,2.8,0.6,3.4,0.107,2.2,-2.2,0.1,0.8
Kyle Collinsworth,0.09216,USA,62,26,DAL,29,409,9.8,0.439,0.185,0.444,7.4,17.9,12.5,15.1,2.0,1.3,17.1,13.0,0.0,0.5,0.4,0.051,-3.8,2.2,-1.7,0.0
Kyle Anderson,2.151704,USA,30,24,SAS,71,1906,15.7,0.579,0.13,0.326,4.7,17.8,11.2,14.7,2.9,2.5,16.3,13.5,2.2,3.7,5.9,0.147,-0.4,4.4,4.0,2.9
Kristaps Porzingis,4.5036,Latvia,4,22,NYK,48,1553,20.4,0.539,0.256,0.309,4.5,18.1,11.3,6.3,1.1,6.4,8.4,31.0,1.4,1.8,3.2,0.1,-0.4,-0.2,-0.6,0.5
Kris Dunn,4.04676,USA,5,23,CHI,52,1525,14.5,0.488,0.201,0.17300000000000001,1.6,14.3,7.8,33.3,3.3,1.6,17.3,24.7,-1.0,1.9,0.9,0.027999999999999997,-1.4,1.4,0.0,0.8
Kosta Koufos,8.393,USA,23,28,SAC,71,1391,17.5,0.5660000000000001,0.0,0.19,11.7,27.8,19.3,9.7,1.7,2.2,10.4,15.2,2.3,1.5,3.8,0.132,-0.9,1.2,0.4,0.8
Klay Thompson,17.82615,USA,11,27,GSW,69,2369,16.1,0.601,0.442,0.087,1.4,10.3,6.2,11.5,1.1,1.1,9.7,23.4,3.0,1.8,4.9,0.098,1.8,-2.2,-0.4,1.0
Khris Middleton,14.1,USA,39,26,MIL,78,2857,17.4,0.579,0.327,0.282,1.7,15.2,8.5,17.6,2.0,0.6,11.8,24.5,4.4,2.2,6.6,0.111,1.6,-1.2,0.4,1.7
Khem Birch,0.815615,Canada,62,25,ORL,38,481,14.6,0.5429999999999999,0.0,0.38799999999999996,13.9,19.6,16.7,8.9,1.1,3.0,13.6,12.8,0.8,0.5,1.2,0.12300000000000001,-1.8,1.4,-0.4,0.2
Kevon Looney,1.471382,USA,30,21,GSW,62,819,14.4,0.581,0.024,0.455,10.9,15.4,13.3,6.1,1.8,4.9,12.6,12.3,1.2,1.2,2.5,0.14400000000000002,-1.1,2.2,1.1,0.7
Kevin Love,22.64235,USA,5,29,CLE,56,1556,22.4,0.608,0.441,0.36700000000000005,7.2,30.3,18.9,9.6,1.3,1.3,9.6,25.3,4.3,1.6,5.9,0.183,2.4,-1.4,1.0,1.2
Kevin Durant,25.0,USA,2,29,GSW,64,2196,26.2,0.643,0.337,0.331,1.7,19.4,11.2,25.3,1.0,4.2,12.9,30.3,7.2,2.9,10.1,0.221,5.0,0.9,5.9,4.4
Kentavious Caldwell-Pope,17.745894,USA,8,24,LAL,70,2377,13.5,0.57,0.523,0.25,2.6,14.4,8.5,9.3,2.1,0.5,9.9,16.9,2.8,2.6,5.4,0.109,0.9,0.4,1.2,1.9
Kent Bazemore,16.910113,USA,62,28,ATL,65,1789,14.5,0.547,0.405,0.297,1.6,13.9,7.7,20.1,2.7,2.2,17.0,22.5,0.2,1.9,2.2,0.059000000000000004,-0.6,1.1,0.4,1.1
Kenneth Faried,12.921348,USA,22,28,DEN,32,461,17.4,0.552,0.006999999999999999,0.345,16.7,20.8,18.7,5.8,1.3,2.4,11.9,18.2,0.9,0.4,1.3,0.13,-1.1,-1.2,-2.3,0.0
Kemba Walker,12.0,USA,9,27,CHO,77,2663,20.7,0.5710000000000001,0.441,0.307,1.2,8.8,4.9,27.5,1.6,0.8,10.3,27.5,6.3,2.0,8.3,0.15,5.1,-1.9,3.3,3.5
Kelly Oubre,2.09304,USA,15,22,WAS,77,2121,12.2,0.539,0.465,0.299,3.1,15.5,9.3,6.4,1.7,1.4,8.8,19.4,1.6,2.2,3.7,0.085,-0.6,-0.5,-1.1,0.5
Kelly Olynyk,10.607169,Canada,13,26,MIA,73,1720,18.0,0.615,0.44,0.27,5.6,21.4,13.5,18.8,1.8,1.7,17.0,21.6,2.8,2.6,5.5,0.153,1.8,1.4,3.2,2.2
Kay Felder,1.312611,USA,54,22,DET,1,3,-31.6,0.0,0.5,0.0,35.9,0.0,18.4,0.0,0.0,0.0,33.3,44.2,-0.1,0.0,-0.1,-1.005,-29.5,-11.9,-41.4,0.0
Kay Felder,1.312611,USA,54,22,CHI,14,134,3.6,0.386,0.273,0.182,0.8,10.8,5.6,23.0,1.1,0.7,17.4,28.0,-0.5,0.1,-0.5,-0.166,-8.2,-3.3,-11.5,-0.3
Kay Felder,1.312611,USA,54,22,TOT,15,137,2.9,0.375,0.27899999999999997,0.17600000000000002,1.5,10.5,5.9,22.5,1.1,0.6,17.9,28.4,-0.6,0.1,-0.5,-0.185,-8.7,-3.5,-12.1,-0.3
Kawhi Leonard,18.868625,USA,15,26,SAS,9,210,26.0,0.5720000000000001,0.315,0.342,3.1,19.1,11.1,17.7,4.3,3.6,11.1,30.6,0.3,0.5,0.9,0.19699999999999998,2.7,3.2,5.9,0.4
Karl-Anthony Towns,6.21684,USA,1,22,MIN,78,2770,24.8,0.645,0.249,0.35100000000000003,9.3,30.9,20.0,10.7,1.1,3.5,10.8,22.9,9.8,3.1,13.0,0.225,4.3,1.0,5.3,5.1
Jusuf Nurkic,2.947305,Bosnia & Herz...,16,23,POR,75,1966,19.1,0.529,0.008,0.292,9.6,26.8,18.3,11.6,1.5,4.3,14.7,26.6,0.6,3.7,4.3,0.105,-2.7,2.7,-0.1,1.0
Justise Winslow,2.70504,USA,10,21,MIA,65,1587,11.5,0.498,0.271,0.20800000000000002,4.2,20.4,12.3,13.0,1.6,1.8,12.8,16.2,0.3,2.3,2.6,0.078,-2.7,1.8,-0.9,0.4
Justin Patton,2.24748,USA,16,20,MIN,1,4,19.8,0.5,0.0,0.0,0.0,0.0,0.0,0.0,12.5,0.0,0.0,22.1,0.0,0.0,0.0,0.149,-0.7,4.0,3.2,0.0
Justin Jackson,2.36556,USA,15,22,SAC,65,1413,9.8,0.53,0.429,0.09,2.1,12.9,7.2,7.3,1.0,0.8,8.4,14.4,0.6,0.5,1.0,0.036000000000000004,-1.8,-1.5,-3.4,-0.5
