Player,Salary,NBA_Country,NBA_DraftNumber,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
Tyler Ennis,1.524305,Canada,18,23,LAL,50,584,10.4,0.45899999999999996,0.265,0.10800000000000001,2.9,11.6,7.3,21.9,1.9,1.4,13.4,16.3,0.0,0.6,0.6,0.052000000000000005,-3.1,-0.2,-3.3,-0.2
Tyler Dorsey,0.815615,USA,41,21,ATL,53,897,9.3,0.478,0.52,0.157,2.1,13.2,7.7,13.2,0.9,0.4,8.8,20.0,-0.2,0.4,0.1,0.008,-2.2,-2.4,-4.6,-0.6
Tyler Cavanaugh,0.679919,USA,62,23,ATL,39,518,13.0,0.5670000000000001,0.586,0.138,9.7,17.7,13.7,7.9,0.8,0.7,8.0,14.8,0.9,0.3,1.2,0.109,0.5,-1.5,-1.0,0.1
Troy Williams,1.471382,USA,62,23,TOT,21,307,15.2,0.544,0.349,0.275,8.0,14.8,11.4,7.8,3.2,1.1,13.5,20.1,0.2,0.4,0.5,0.085,-0.1,0.1,0.0,0.2
Troy Daniels,3.40852,USA,62,26,PHO,78,1609,10.0,0.585,0.7979999999999999,0.11199999999999999,0.8,7.7,4.2,4.6,0.7,0.3,8.3,17.2,1.5,0.0,1.5,0.045,0.8,-3.7,-2.8,-0.3
Tristan Thompson,16.4,Canada,4,26,CLE,49,1017,13.7,0.573,0.0,0.349,13.3,23.6,18.5,4.2,0.8,1.4,12.2,12.5,1.7,0.7,2.4,0.115,-1.6,-0.7,-2.3,-0.1
Trey McKinney-Jones,0.04608,USA,62,27,IND,1,1,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,-0.001,-5.7,-0.1,-5.9,0.0
Trey Lyles,2.4414,USA,12,22,DEN,70,1366,18.0,0.589,0.39799999999999996,0.267,4.5,23.8,14.2,10.1,1.1,2.1,9.0,21.2,2.6,1.2,3.8,0.133,0.6,-1.4,-0.8,0.4
Trey Burke,0.78416,USA,9,25,NYK,32,648,22.8,0.5760000000000001,0.262,0.133,2.1,8.0,5.1,38.1,1.5,0.5,8.8,25.9,2.0,0.3,2.3,0.16699999999999998,5.3,-3.3,2.0,0.7
Trevor Booker,9.125,USA,23,30,TOT,64,1085,14.8,0.563,0.08900000000000001,0.275,10.8,18.7,14.8,11.0,1.2,1.5,14.1,16.5,1.5,1.2,2.7,0.12,-1.1,0.6,-0.5,0.4
Trevor Ariza,7.420912,USA,43,32,HOU,64,2179,12.1,0.573,0.713,0.14300000000000002,1.7,13.0,7.4,6.9,2.1,0.5,7.0,14.4,2.7,2.6,5.3,0.11699999999999999,1.0,0.6,1.7,2.0
Treveon Graham,1.312611,USA,62,24,CHO,63,1050,9.0,0.5529999999999999,0.439,0.267,4.2,8.3,6.2,7.9,1.5,0.2,9.9,11.3,1.0,0.7,1.7,0.079,-0.6,-0.4,-1.0,0.3
Travis Wear,0.148318,USA,62,27,LAL,13,172,9.8,0.562,0.7190000000000001,0.14,0.0,18.5,9.3,3.3,0.8,1.9,6.2,15.9,0.1,0.2,0.3,0.08800000000000001,-2.0,-1.9,-4.0,-0.1
Tony Snell,9.821429,USA,20,26,MIL,71,1955,8.4,0.584,0.63,0.11599999999999999,0.5,7.3,4.0,6.5,1.2,1.1,7.7,10.5,1.6,0.7,2.3,0.055999999999999994,-0.4,-1.3,-1.7,0.2
Tony Parker,15.453126,France,28,35,SAS,52,1020,13.1,0.499,0.094,0.198,0.6,9.3,4.9,29.0,1.4,0.1,13.4,20.6,0.4,1.1,1.5,0.07200000000000001,-2.1,-1.6,-3.8,-0.5
Tony Bradley,1.41492,USA,28,20,UTA,9,29,9.5,0.337,0.091,0.182,15.9,27.2,21.6,5.0,0.0,0.0,0.0,18.5,0.0,0.0,0.0,0.03,-6.6,-3.1,-9.7,-0.1
Tony Allen,2.116955,USA,25,36,NOP,22,273,8.7,0.514,0.132,0.231,8.2,10.4,9.4,4.6,1.9,0.9,15.9,18.9,-0.2,0.2,0.1,0.016,-3.9,-1.3,-5.2,-0.2
Tomas Satoransky,3.0,Czech Republic,32,26,WAS,69,1535,15.4,0.618,0.265,0.27,4.7,11.0,7.8,25.1,1.6,0.8,16.4,13.7,3.5,1.2,4.7,0.147,1.3,-0.3,1.0,1.2
Tobias Harris,16.0,USA,19,25,TOT,76,2546,17.4,0.569,0.369,0.17800000000000002,2.4,15.6,8.9,11.6,1.3,1.1,7.2,23.2,4.3,2.5,6.7,0.127,1.7,-0.7,1.0,1.9
Timothe Luwawu-Cabarrot,1.3866,France,24,22,PHI,52,807,7.0,0.511,0.5920000000000001,0.217,1.9,7.5,4.8,9.4,0.7,0.5,11.5,17.5,0.1,0.7,0.8,0.046,-2.3,-2.4,-4.6,-0.5
Timofey Mozgov,15.28,Russia,62,31,BRK,28,339,10.2,0.589,0.212,0.294,8.7,18.7,13.6,3.6,0.7,2.4,24.4,16.2,-0.1,0.3,0.2,0.026000000000000002,-4.8,-0.6,-5.4,-0.3
Tim Hardaway,16.5,USA,24,25,NYK,56,1856,14.4,0.531,0.47600000000000003,0.209,1.9,11.2,6.6,12.5,1.6,0.5,9.0,23.8,1.5,1.0,2.5,0.065,1.6,-1.9,-0.2,0.8
Tim Frazier,2.0,USA,62,27,WAS,56,807,11.2,0.47700000000000004,0.335,0.183,2.5,12.7,7.7,31.4,2.6,0.8,23.7,12.7,0.4,0.9,1.3,0.079,-2.3,0.1,-2.2,0.0
Thon Maker,2.68416,South Sudan,10,20,MIL,71,1205,10.5,0.502,0.326,0.293,7.3,14.4,10.9,5.3,1.6,3.7,10.8,14.6,0.4,1.1,1.5,0.061,-2.5,0.1,-2.4,-0.1
Thomas Bryant,0.815615,USA,42,20,LAL,11,34,7.7,0.473,0.556,0.667,3.2,15.6,9.4,7.8,0.0,0.0,7.9,15.8,0.0,0.0,0.0,0.037000000000000005,-3.8,-3.3,-7.1,0.0
Thaddeus Young,14.796348,USA,12,29,IND,78,2544,14.7,0.528,0.212,0.10400000000000001,7.9,14.1,11.1,8.4,2.5,1.2,10.5,17.3,2.1,3.1,5.2,0.099,0.1,1.3,1.4,2.2
Thabo Sefolosha,5.25,Switzerland,13,33,UTA,38,806,15.9,0.591,0.35,0.225,4.1,18.5,11.4,6.4,3.2,1.3,10.2,16.4,1.0,1.6,2.6,0.153,-0.3,2.2,1.8,0.8
Terry Rozier,1.98852,USA,16,23,BOS,77,1980,15.4,0.524,0.499,0.188,3.4,16.2,9.9,17.0,2.0,0.7,8.0,20.5,2.3,3.3,5.6,0.135,1.0,1.0,2.0,2.0
